city,state,station,last_update,latitude,longitude,pm25,pm10,no2,so2,co,o3,aqi,aqi_category
Lucknow,Uttar_Pradesh,"Kukrail Picnic Spot-1, Lucknow - UPPCB",2025-05-19 10:00:00,26.90723,80.98579,43.0,64.0,23.0,18.0,24.0,43.0,341.42011834319527,Very Poor
Lucknow,Uttar_Pradesh,"Lalbagh, Lucknow - CPCB",2025-05-19 10:00:00,26.8458805,80.9365541,110.0,132.0,45.0,10.0,49.0,17.0,475.1256281407035,Severe
Lucknow,Uttar_Pradesh,"Talkatora District Industries Center, Lucknow - CPCB",2025-05-19 10:00:00,26.83399722,80.8917361,93.0,169.0,38.0,7.0,23.0,9.0,335.5621301775148,Very Poor
Ludhiana,Punjab,"Punjab Agricultural University, Ludhiana - PPCB",2025-05-19 10:00:00,30.9028,75.8086,117.0,119.0,,12.0,34.0,18.0,400.0,Very Poor
Madikeri,Karnataka,"Stuart Hill, Madikeri - KSPCB",2025-05-19 10:00:00,12.415911,75.73505,27.0,21.0,2.0,7.0,11.0,5.0,213.91304347826087,Poor
Madurai,TamilNadu,"Uchapatti, Madurai - TNPCB",2025-05-19 10:00:00,9.865935,78.022669,19.0,26.0,20.0,32.0,12.0,6.0,228.2608695652174,Poor
Mahad,Maharashtra,"Kamble Tarf Birwadi, Mahad - MPCB",2025-05-19 10:00:00,18.1023399,73.4783687,61.0,68.0,19.0,27.0,51.0,28.0,485.0753768844221,Severe
Malegaon,Maharashtra,"Mahesh Nagar, Malegaon - MPCB",2025-05-19 10:00:00,20.555712,74.529236,40.0,51.0,14.0,10.0,18.0,19.0,306.2721893491124,Very Poor
Mandi Gobindgarh,Punjab,"RIMT University, Mandi Gobindgarh - PPCB",2025-05-19 10:00:00,30.649961,76.331442,124.0,112.0,26.0,22.0,103.0,49.0,500.0,Severe
Mandideep,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB",2025-05-19 10:00:00,23.10844,77.511428,64.0,85.0,21.0,18.0,21.0,55.0,323.8461538461538,Very Poor
Mangalore,Karnataka,"Kadri, Mangalore - KSPCB",2025-05-19 10:00:00,12.88925,74.853,45.0,57.0,5.0,5.0,6.0,24.0,149.873417721519,Moderately Polluted
Manguraha,Bihar,"Forest Rest House, Manguraha - BSPCB",2025-05-19 10:00:00,27.308328,84.531742,28.0,,5.0,6.0,152.0,23.0,500.0,Severe
Meerut,Uttar_Pradesh,"Ganga Nagar, Meerut - UPPCB",2025-05-19 10:00:00,28.999264,77.7590354,63.0,92.0,12.0,18.0,35.0,60.0,405.47738693467335,Severe
